birth,immigration,emigration,mortality,employment,count,age
0,0,0.006,0.01,0,200,1
0,0,0.006,0.01,0,200,2
0,0,0.006,0.01,0,200,3
0,0,0.006,0.005,0,200,4
0,0,0.006,0.005,0,200,5
0,0,0.006,0.005,0,200,6
0,0,0.006,0.005,0,200,7
0,0,0.006,0.005,0,200,8
0,0,0.006,0.005,0,200,9
0,0,0.006,0.005,0,200,10
0,0,0.006,0.005,0,200,11
0,0,0.006,0.005,0,200,12
0,0,0.006,0.005,0,200,13
0,0,0.006,0.005,0,200,14
0,0,0.006,0.005,0,200,15
0.01,0,0.006,0.005,0,200,16
0.01,0,0.006,0.005,0,200,17
0.01,0,0.006,0.005,0.95,200,18
0.01,0,0.006,0.005,0.95,200,19
0.0133,0,0.006,0.005,0.95,200,20
0.0133,0.009,0.02,0.0033,0.95,300,21
0.0133,0.009,0.02,0.0033,0.95,200,22
0.0133,0.009,0.02,0.0033,0.95,300,23
0.0133,0.009,0.02,0.0033,0.95,300,24
0.0133,0.009,0.02,0.0033,0.95,300,25
0.0133,0.009,0.02,0.0033,0.95,300,26
0.0133,0.009,0.02,0.0033,0.95,300,27
0.0133,0.009,0.02,0.0033,0.95,300,28
0.0133,0.009,0.02,0.0033,0.95,300,29
0.0133,0.009,0.02,0.0033,0.95,300,30
0.01,0.009,0.02,0.0033,0.95,300,31
0.01,0.009,0.02,0.0033,0.95,300,32
0.01,0.009,0.02,0.0033,0.95,300,33
0.01,0.009,0.02,0.0033,0.95,300,34
0.01,0.009,0.02,0.0033,0.95,300,35
0.01,0.009,0.02,0.0033,0.95,300,36
0.01,0.009,0.02,0.0033,0.95,300,37
0.01,0.009,0.02,0.0033,0.95,300,38
0.01,0.009,0.02,0.0033,0.95,300,39
0.01,0.009,0.02,0.0033,0.95,300,40
0.006,0,0.02,0.0066,0.9,300,41
0.006,0,0.02,0.0066,0.9,300,42
0.006,0,0.02,0.0066,0.9,300,43
0.006,0,0.02,0.0066,0.9,300,44
0.006,0,0.02,0.0066,0.9,300,45
0,0,0.02,0.0066,0.9,300,46
0,0,0.02,0.0066,0.9,300,47
0,0,0.02,0.0066,0.9,300,48
0,0,0.02,0.0066,0.9,300,49
0,0,0.02,0.0066,0.9,300,50
0,0,0.0048,0.016,0.9,250,51
0,0,0.0048,0.016,0.9,250,52
0,0,0.0048,0.016,0.9,250,53
0,0,0.0048,0.016,0.9,250,54
0,0,0.0048,0.016,0.9,250,55
0,0,0.0048,0.016,0.9,250,56
0,0,0.0048,0.016,0.9,250,57
0,0,0.0048,0.016,0.9,250,58
0,0,0.0048,0.016,0.9,250,59
0,0,0.0048,0.016,0.9,250,60
0,0,0.008,0.036,0,150,61
0,0,0.008,0.036,0,150,62
0,0,0.008,0.036,0,150,63
0,0,0.008,0.036,0,150,64
0,0,0.008,0.036,0,150,65
0,0,0.008,0.036,0,150,66
0,0,0.008,0.036,0,150,67
0,0,0.008,0.036,0,150,68
0,0,0.008,0.036,0,150,69
0,0,0.008,1,0,150,70
